Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Iraq,IRQ,27.8,27.8,27.8,27.8,27.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Ireland,IRL,25.3,25.4,25.5,25.8,25.9
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Isle of Man,IMY,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Israel,ISR,30.1,29.3,28.1,28.9,29.2
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Italy,ITA,67.6,67.6,67.6,65.6,65.2
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Jamaica,JAM,46.7,46.6,46.6,46.5,41.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Japan,JPN,..,..,..,49.8,51.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Jordan,JOR,31.2,28.2,28.6,29.1,29
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Kazakhstan,KAZ,29.8,29,29,28.9,28.9
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Kenya,KEN,49.3,48.9,43.7,37.4,37.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Kiribati,KIR,31.8,31.8,31.8,32.7,32.7
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,"Korea, Rep.",KOR,30.2,34.1,33.9,33.3,33.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Kosovo,KSV,16.5,15.8,15.6,15.4,15.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Kuwait,KWT,10.7,10.7,12.4,12.4,12.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Kyrgyz Republic,KGZ,30.6,33.4,33.4,29,29
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Lao PDR,LAO,31.4,31.4,31.4,26.3,25.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Latvia,LVA,37.5,37,35.8,35,35
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Lebanon,LBN,30.6,30.6,30.6,30,30.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Lesotho,LSO,14.2,14,13.8,13.6,13.6
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Liberia,LBR,42.5,42.5,25.4,28.6,33.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Libya,LBY,..,..,32.8,32.8,32.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Liechtenstein,LIE,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Lithuania,LTU,45.1,43.1,43,42.9,42.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Luxembourg,LUX,20,19.8,20,20.4,20.2
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,"Macao SAR, China",MAC,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,"Macedonia, FYR",MKD,8.1,7.5,7.4,7.4,8.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Madagascar,MDG,42,41.2,39.8,38.9,38.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Malawi,MWI,25.9,29,32.4,33.5,35.2
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Malaysia,MYS,33.9,34.1,34.6,39.1,39.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Maldives,MDV,9.3,9.3,25.9,30.2,30.2
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Mali,MLI,51.4,51.1,51.1,48.3,48.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Malta,MLT,..,41.3,41.3,41.3,41.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Marshall Islands,MHL,64.8,64.8,64.8,64.8,64.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Mauritania,MRT,68.2,68.2,68.2,65.6,71.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Mauritius,MUS,27.2,27.7,27.5,24.5,24.5
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Mexico,MEX,..,..,..,51.7,51.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,"Micronesia, Fed. Sts.",FSM,58.7,59,59.9,60,60.5
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Moldova,MDA,30.4,30.8,30.8,39.7,39.7
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Monaco,MCO,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Mongolia,MNG,24.4,24.4,24.6,24.5,24.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Montenegro,MNE,29,24.4,21.6,21.6,21.6
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Morocco,MAR,49.7,49.7,49.7,48.8,49
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Mozambique,MOZ,37,37,37,36.1,36.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Myanmar,MMR,..,..,37.6,33.7,32.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Namibia,NAM,22.3,21.8,21.8,21.2,20.7
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Nepal,NPL,31.7,31.5,31.5,29.5,29.5
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Netherlands,NLD,39.4,39.6,39.2,39.5,39
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,New Caledonia,NCL,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,New Zealand,NZL,34.7,34.4,34,34.4,34.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Nicaragua,NIC,63.3,64.1,62.4,62.4,63.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Niger,NER,46.7,44.3,44.3,47.3,47.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Nigeria,NGA,..,..,..,32.4,32.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Northern Mariana Islands,MNP,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Norway,NOR,40.7,40.7,40.7,40.7,40.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Oman,OMN,21.6,22,22,23,22.9
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Pakistan,PAK,..,..,..,32.4,32.6
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Palau,PLW,72.5,72.5,75.2,75,75.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Panama,PAN,43.8,43.6,40.5,37,37.2
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Papua New Guinea,PNG,42.1,42.1,42.1,39.3,39.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Paraguay,PRY,35,35,35,35,35
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Peru,PER,37.1,36.6,36.4,36,35.9
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Philippines,PHL,43.8,44.5,44.5,42.5,42.5
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Poland,POL,40.6,40.1,40.3,40.1,40.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Portugal,PRT,42.6,42.8,42,42.3,42.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Puerto Rico,PRI,63.6,63.1,50.4,49.6,66
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Qatar,QAT,11.3,11.3,11.3,11.3,11.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Romania,ROM,44,43.5,43.3,43.2,43.2
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Russian Federation,RUS,..,..,..,48.7,48.9
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Rwanda,RWA,34.7,34.7,34.5,33,33
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Samoa,WSM,18.4,18.4,18.4,18.4,18.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,San Marino,SMR,..,..,40.1,40.1,40.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Sao Tome and Principe,STP,39.5,38.7,38.7,38.2,38.2
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Saudi Arabia,SAU,14.7,14.7,14.7,14.6,14.6
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Senegal,SEN,45.5,45.5,45.5,45.3,45.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Serbia,SRB,33.3,33.3,33.3,33.2,38.6
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Seychelles,SYC,42,30,23.5,25.5,29.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Sierra Leone,SLE,235.2,32.4,32.4,31,31
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Singapore,SGP,23.4,23.8,18.5,18.6,18.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Slovak Republic,SVK,50,50.2,49.7,49.3,51.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Slovenia,SVN,33.6,32.9,32.9,31.4,31
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Solomon Islands,SLB,26.2,26.2,25.3,32,32
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Somalia,SOM,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,South Africa,ZAF,30.2,31.8,32,28.7,28.9
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,South Sudan,SSD,..,..,26.4,29.2,29
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Spain,ESP,55.5,37.9,37.9,57.1,58.2
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Sri Lanka,LKA,96.6,112.9,55.3,57,55.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,St. Kitts and Nevis,KNA,52.5,52.5,51.9,51.6,49.7
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,St. Lucia,LCA,34,34.4,34.6,34.7,34.7
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,St. Martin (French part),MAF,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,St. Vincent and the Grenadines,VCT,38.7,38.7,38.7,38.6,38.6
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Sudan,SDN,36.1,36.1,36.1,45.4,45.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Suriname,SUR,27.9,27.9,27.9,27.9,27.9
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Swaziland,SWZ,36.8,37.6,36.8,36.7,36.9
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Sweden,SWE,52.1,52.1,52.1,52.1,49.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Switzerland,CHE,28.8,28.9,29.4,28.4,28.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Syrian Arab Republic,SYR,39.9,39.9,39.9,39.9,42.7
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Tajikistan,TJK,84,84.5,84.5,80.9,81.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Tanzania,TZA,44.4,44.9,44.9,44.3,44.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Thailand,THA,36.9,36.9,37.2,29.2,26.7
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Timor-Leste,TMP,11.2,11.2,11.2,11.2,11.2
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Togo,TGO,50.3,48.9,48.9,48.9,50.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Tonga,TON,26.2,26.2,26.2,30.1,30.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Trinidad and Tobago,TTO,35,31,31,31.5,32
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Tunisia,TUN,62.3,62.4,62.4,62.4,62.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Turkey,TUR,43.3,40,40,39.7,40.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Turkmenistan,TKM,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Tuvalu,TUV,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Uganda,UGA,36.6,36.6,36.6,36.5,36.5
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Ukraine,UKR,55.5,57.1,55.4,54.4,52.7
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,United Arab Emirates,ARE,14.1,14.1,14.9,14.8,14.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,United Kingdom,GBR,36.1,36.2,35,34.7,33.5
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,United States,USA,..,..,..,43.8,43.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Uruguay,URY,41.9,41.9,41.9,41.8,41.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Uzbekistan,UZB,95.8,97.7,98.7,93.7,42.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Vanuatu,VUT,8.4,8.4,8.4,8.5,8.5
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,"Venezuela, RB",VEN,51.9,62.8,61.8,65.4,65.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Vietnam,VNM,32.9,40,34.3,40.8,40.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Virgin Islands (U.S.),VIR,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,West Bank and Gaza,WBG,16.5,16.5,16.5,16.5,15.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,"Yemen, Rep.",YEM,49.3,34.5,33.6,33.3,33.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Zambia,ZMB,14.3,14.4,16.2,15.9,15.5
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Zimbabwe,ZWE,37,32.5,32.7,32.4,32.5
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 04/11/2016,,,,,,,,
